Species,,,,,,,,,,,
Cobia,,,,,,,,,,,
King Mackerel,,,,,,,,,,,
Spanish Mackerel,,,,,,,,,,,
Red Drum,,,,,,,,,,,
Almaco Jack,,,,,,,,,,,
Banded Rudderfish,,,,,,,,,,,
Black Grouper,,,,,,,,,,,
Blackfin Snapper,,,,,,,,,,,
Blueine Tilefish,,,,,,,,,,,
Cubera Snapper,,,,,,,,,,,
Gag,,,,,,,,,,,
Goldface Tilefish,,,,,,,,,,,
Goliath Grouper,,,,,,,,,,,
Gray Snapper,,,,,,,,,,,
Gray Triggerfish,,,,,,,,,,,
Greater Amberjack,,,,,,,,,,,
Hogfish,,,,,,,,,,,
Lane Snapper,,,,,,,,,,,
Lesser Amberjack,,,,,,,,,,,
Mutton Snapper,,,,,,,,,,,
Queen Snapper,,,,,,,,,,,
Red Grouper,,,,,,,,,,,
Red Snapper,,,,,,,,,,,
Scamp,,,,,,,,,,,
Silk Snapper,,,,,,,,,,,
Snowy Grouper,,,,,,,,,,,
Speckled Hind,,,,,,,,,,,
Tilefish,,,,,,,,,,,
Vermilion Snapper,,,,,,,,,,,
Warsaw Grouper,,,,,,,,,,,
Wenchmen,,,,,,,,,,,
Yellowedge Grouper,,,,,,,,,,,
Yellowfin Grouper,,,,,,,,,,,
Yellowmouth Grouper,,,,,,,,,,,
Yellowtail Snapper,,,,,,,,,,,
Brown Shrimp,,,,,,,,,,,
Pink Shrimp,,,,,,,,,,,
Royal Red Shrimp,,,,,,,,,,,
White Shrimp,,,,,,,,,,,
